STATION CODE,LOCATIONS,STATE,TEMP,DO,pH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM
2157,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,MAHARASHTRA,26,6.6,8.1,601,3.2,6.75,2,80
2360,"GODAVARI AT BASARA, ADILABAD",ANDHRA PRADESH,28,5.5,8.1,826,1.7,1,27,161
2361,"GODAVARI  AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAVAGU",ANDHRA PRADESH,31,6.9,9,526,12,0,130,285
2362,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNaNGAR",ANDHRA PRADESH,30,5.7,8.5,575,13,0,240,700
2363,"GODAVARI AT GODAVARIKHANI, NEAR BATHING GHAT, KARIMNaNGAR",ANDHRA PRADESH,30.5,3.2,8.8,803,15,0,500,1250
2364,"GODAVARI AT RAMAGUNDAM U/S , KARIMNaNGAR",ANDHRA PRADESH,30.5,6.7,9,531,12.5,0,130,425
2356,"GODAVARI,  D/S OF RAMANUGUNDAM,",ANDHRA PRADESH,29,4.4,8.5,656,13,0,300,500
2365,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",ANDHRA PRADESH,30,6.1,8.4,418,6.5,0,300,500
2366,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH,29.5,6.6,8.2,421,4,0,280,700
13,"GODAVARI AT MANCHERIAL, A.P.",ANDHRA PRADESH,29.5,4.1,9.1,518,16.5,0,240,900
2367,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,20,6,8.1,443,0.3,1,2,640
2368,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,20.2,5.6,8,462,0.8,1,3,5280
2369,"GODAVARI AT BURGAMPAHAD, KHAMMAM",ANDHRA PRADESH,19.8,6.1,7.9,666,1.8,0.84,2,1160
2370,GODAVARI AT RAJAMUNDRY U/S OF NaNLLA CHANNEL,ANDHRA PRADESH,26.6,5.8,6.9,290,1.2,2.4,48,628
14,"GODAVARI AT POLAVARAM, A.P.",ANDHRA PRADESH,27,6.2,7.7,380,1.2,1.56,NaN,170
1218,"GODAVARI AT RAJAHMUNDRY U/S, A.P.",ANDHRA PRADESH,26.6,6.1,7.4,480,1.3,1.98,3,432
2371,GODAVARI AT RAJAMUNDRY D/S OF NaNLLA CHANNEL,ANDHRA PRADESH,26.8,5.9,7,315,1.2,1.29,23,1100
1484,"ALKANaNDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,17.5,8.5,8.1,NaN,0.7,0,NaN,NaN
1485,"MANDAKINI B/C ALKALNaNDA AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.3,8.8,8.1,NaN,0.7,0,NaN,NaN
1486,"ALKANaNDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.7,8.1,8,NaN,1,0,NaN,NaN
1487,"ALKANaNDA B/C TO BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,17.3,8.4,8.1,NaN,1,0,NaN,NaN
1488,"BHAGIRATHI B/C WITH ALAKNaNDA AT DEVPRAYAG, U.P",UTTARAKHAND,17,8.7,8.1,NaN,0.9,0,NaN,NaN
1489,"ALKANaNDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,17,8.2,8,NaN,1.1,0,NaN,NaN
1060,"GANGA AT RISHIKESH U/S, U.P",UTTARAKHAND,17.2,8.7,7.7,NaN,1.1,0,NaN,22
2725,GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANaNRAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,21,6.9,7.8,NaN,5.2,0,NaN,908
1061,"GANGA AT HARIDWAR D/S, U.P",UTTARAKHAND,24.4,5.4,7.5,NaN,5.3,0,NaN,1600
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,18.7,7.7,7.7,NaN,2.1,0,NaN,177
1062,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH,23,9,7.4,242,2.5,0.4,664,1268
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,23,8,7.4,310,2.7,0.1,4000,630
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,22,8.2,7.5,293,2.6,0.1,370,610
1145,"GANGA AT NaNRORA (BULANDSAHAR), U.P.",UTTAR PRADESH,23,7.8,7.4,320,3.1,0.1,410,630
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,23,7.3,7.5,277,1.4,0,400,610
1063,"GANGA AT KANNaNUJ U/S (RAJGHAT), U.P",UTTAR PRADESH,26.9,7.9,7.9,288,2.9,0.2,2200,4467
1066,"GANGA AT KANNaNUJ D/S, U.P",UTTAR PRADESH,26.9,7.3,7.9,276,3.2,0.3,2978,5078
1146,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH,27,7.9,8.2,290,3,0.2,2333,4256
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",UTTAR PRADESH,27,7.5,8.2,307,3.4,0.2,2600,4856
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH,27,6.3,7.7,430,5.5,0.3,15889,54333
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",UTTAR PRADESH,22.1,8,7.8,213,3.7,0.8,5517,8250
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,22.1,8.2,7.8,209,3.6,0.8,5158,7967
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",UTTAR PRADESH,24.4,8.7,8.3,385,3.6,1.7,17283,29500
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,24.5,8.4,8.3,382,3.9,1.8,18333,31833
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH,24.4,8.5,8.3,404,4.2,2,19500,32417
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,22.4,8.4,7.7,290,2.5,0.4,1567,3078
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,23.8,8.4,7.6,299,2.6,0.5,2146,6518
1070,"GANGA AT VARANaNSI U/S (ASSIGHAT), U.P",UTTAR PRADESH,22.5,8.3,8.2,338,2.9,0,2617,3950
1071,"GANGA AT VARANaNSI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH,22.5,7.8,8.5,385,4.5,0,31167,47333
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH,22.7,7.7,8.5,369,3.9,0,17500,25667
2502,"SHUKRA TAL, MUZAFFARNaNGAR, NEAR GANGA RIVER",UTTAR PRADESH,17,8.6,8,290,1.8,0,70,125
1074,"GANGA AT BUXAR,BIHAR",BIHAR,24.5,8.4,8.1,371,2.5,0,1190,3100
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,24.9,8.1,8.1,376,2.7,0,3183,9350
1077,"GANGA AT KHURJI, PATNaN U/S, BIHAR",BIHAR,24.5,8.1,8.1,376,2.3,0,1600,3436
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,22.3,8.2,8.1,270,2.2,0,660,2033
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,23.8,8.3,8.2,311,2.5,0,1483,3967
2552,GANGA DARBHANGA GHAT AT PATNaN,BIHAR,24.7,7.8,7.9,402,2.8,0,6527,19091
1079,"GANGA AT PATNaN D/S (GANGA BRIDGE),BIHAR",BIHAR,24.9,7.9,8,402,2.7,0,3782,11564
2555,"GANGA AT PUNPUN, PATNaN",BIHAR,24.7,7.3,7.7,452,2.5,0,1382,4573
2553,GANGA AT FATUHA,BIHAR,24.4,8.1,8,386,2.3,0,1846,4982
1817,GANGA AT MOKAMA (U/S),BIHAR,24.1,7.8,7.9,277,2.3,0,1251,2770
1815,GANGA AT MOKAMA (D/S),BIHAR,24,7.7,7.8,295,2.6,0,2792,9430
1818,GANGA AT MUNGER,BIHAR,23.9,7.6,7.8,268,2.4,0,1622,4411
2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,24,7.7,7.8,280,2.5,0,1560,3722
1819,GANGA AT BHAGALPUR,BIHAR,24.4,7.7,7.8,276,2.6,0,2933,9044
1816,GANGA AT KAHALGAON,BIHAR,23.4,7.8,7.9,265,2.7,0,2678,8511
3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,24.5,8.2,8.1,352,2.5,0,1705,4683
3114,GANGA RIVER NEAR DANaNPUR (NEAR PIPAPUL),BIHAR,24.1,8.1,8.1,375,2.4,0,1198,2855
3115,GANGA RIVER AT BARH,BIHAR,23.4,7.8,7.9,260,2.2,0,1106,2529
3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR,23.8,7.8,7.9,267,2.3,0,998,2478
3117,GANGA AT U/S SULTANGANJ,BIHAR,23.9,7.8,7.9,270,2.3,0,1220,2844
3118,GANGA AT U/S BHAGALPUR,BIHAR,23.9,7.7,7.9,262,2.4,0,1290,3020
3122,"GANGA AT MALSALAMI, PATNaN",BIHAR,24.5,8,8,377,2.4,0,1846,5073
3123,GANGA RIVER AT BARAHIA,BIHAR,22.5,7.7,7.9,292,2.3,0,1048,2833
1080,GANGA AT BAHARAMPORE WEST BENGAL,WEST BENGAL,26.5,7.4,7.9,304,4.2,0.8,166358,287833
2511,"NaNBADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,27.4,7.4,7.9,353,3.3,0.7,143275,474917
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,28.3,6.9,8,312,2.8,0.8,34392,61283
1054,"GANGA AT PALTA, WEST BENGAL",WEST BENGAL,27,6.7,7.8,315,3.4,0.9,106417,171417
1472,"GANGA AT SERAMPORE, WEST BENGAL",WEST BENGAL,27.3,6,7.9,323,3.1,0.7,153917,335000
1053,"GANGA AT DAKSHMINESWAR, WEST BENGAL",WEST BENGAL,26.5,6.7,8,319,4.2,0.7,285833,586250
1471,"GANGA AT HOWRAH-SHIVPUR, WEST BENGAL",WEST BENGAL,26.5,6.3,8,314,3.6,0.7,122417,286083
1470,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL,26.4,6.1,8.1,322,3.2,0.7,310417,542917
1052,"GANGA AT ULUBERIA, WEST BENGAL",WEST BENGAL,27.1,6.3,8.1,368,3.4,0.6,31417,78083
1469,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL,26.4,6.9,8,1900,3.7,0.8,41750,88917
1260,"BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG),ASSAM",ASSAM,22.3,7.2,7.1,216,1.5,1.4,146,5525
1030,"BRAHAMPUTRA AT DIBRUGARH, ASSAM",ASSAM,21.8,7.7,7.2,256,1.4,1.5,2128,45100
1262,"BRAHAMPUTRA AT NIMATIGHAT, ASSAM",ASSAM,25.1,6.9,7,273,1.5,2.5,585,26322
1526,"BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM",ASSAM,24.3,7.5,7,298,1.3,1.7,12418,93005
1031,"BRAHAMPUTRA AT PANDU, ASSAM",ASSAM,25.4,7.9,7.2,236,1.4,2.3,5449,134042
1299,"BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM",ASSAM,27.7,6,7.3,295,1.1,1.9,444,8382
2069,"BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM",ASSAM,27,8.1,7.6,210,0.9,1.2,3388,123400
2064,"BRAHMAPUTRA RIVER AT CHANDRAPUR, GUWAHATI",ASSAM,25.8,7.3,7.1,168,1.6,0.4,1653,61303
2067,"BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM",ASSAM,27.3,7.1,7.2,289,1.6,1.4,1208,8725
2066,BRAHMAPUTRA RIVER AT DHUBRI,ASSAM,28.2,5.1,7,253,1.5,1.4,2990,180228
1194,"KRISHNaN AT MAHABALESHWAR DHOM DAM NEAR KOINaN DAM,MAHARASHTRA",MAHARASHTRA,23.1,6.8,8.1,160,3.1,2.9,15,387
1153,"KRISHNaN AT RAJAPUR WEIR, MAHARASHTRA",MAHARASHTRA,24.1,6.8,7.4,449,2.9,1.7,NaN,80
36,"KRISHNaN AT KRISHNaN BRIDGE, KARAD, MAHARASHTRA",MAHARASHTRA,23.8,6,8.2,262,5.1,1.8,149,1357
1906,KRISHNaN D/S OF ISLAMPUR,MAHARASHTRA,25,6.7,7.6,441,2.9,1.5,2,80
37,"KRISHNaN AT SANGLI, MAHARASHTRA",MAHARASHTRA,23.7,7,7.5,711,3,1.4,NaN,90
1310,"KRISHNaN AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA",MAHARASHTRA,24,7,7.5,400,2.8,1.2,4,110
2187,KRISHNaN RIVER AT KSHETRA MAHULI.,MAHARASHTRA,20.8,6.1,8.4,551,5.6,2.3,183,1377
2188,KRISHNaN RIVER AT KRISHNaN-VENNaN SANGAM AT MAHULI.,MAHARASHTRA,22,6.2,8.3,458,4.6,2.3,191,1481
2190,KRISHNaN RIVER AT WAI.,MAHARASHTRA,22.7,6.1,8.2,413,5.5,1.8,171,1257
1182,"KRISHNaN AT U/S OF UGARKHURD BARRAGE,KARNaNTAKA",KARNaNTAKA,29,7.5,8,685,2.1,2.3,780,1390
1889,KRISHNaN - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,KARNaNTAKA,28,7.5,8,808,1.8,2.1,890,1460
1181,"KRISHNaN AT D/S OF NaNRAYANPURA DAM,KARNaNTAKA",KARNaNTAKA,29.3,5.9,8.3,521,1.5,0.4,518,1110
1170,"KRISHNaN AT D/S OF DEVASAGAR BDG.,KARNaNTAKA",KARNaNTAKA,29.4,7.2,8.3,916,1.9,0.2,792,1483
1028,"KRISHNaN AT TINTINI BRIDGE, KARNaNTAKA",KARNaNTAKA,29.5,7.1,8.2,718,1.9,0.2,538,1100
2781,"KRISHNaN AT D/S OF ALAMATTI DAM, KARNaNTAKA",KARNaNTAKA,29.2,6.2,8.3,513,1.4,0.5,678,1250
1784,"THANGADI , MAHABOOBNaNGAR DIST., A.P",ANDHRA PRADESH,17.6,5.3,8.1,874,10.5,0,NaN,NaN
1175,"KRISHNaN AFTER CONFL. WITH TUNGABHADRA, SANGAMESHWARAM A.P.",ANDHRA PRADESH,26,6.7,8.1,791,2.6,2,28,611
39,"KRISHNaN AT GADWAL BRIDGE, A.P.",ANDHRA PRADESH,17.2,5.6,8.1,870,9.5,0,NaN,NaN
1465,"KRISHNaN AT WADAPALLY AFTER CONFL. WITH R. MUSI, A.P.(SHIFTED FROM 1220)",ANDHRA PRADESH,28.4,5.7,8.7,1072,1.6,1.2,11,122
1786,"VEDADRI , GUNTUR DIST., A.P",ANDHRA PRADESH,24.9,6.8,7.9,726,0.9,0.6,2,1875
1787,"AMARAVATI , GUNTUR DIST., A.P",ANDHRA PRADESH,27.6,7,7.8,669,0.6,0.4,2,1613
25,"KRISHNaN AT VIJAYWADA, A.P.",ANDHRA PRADESH,25.8,7.2,8,669,0.7,0.7,2,1750
3083,"KRISHNaN D/S OF SRISHAILAM,  KURNOOL, A.P.",ANDHRA PRADESH,28.4,6.8,8.2,818,2.9,2,36,860
1782,"HAMSALA DEEVI , GUNTUR DIST, A.P",ANDHRA PRADESH,26,5.5,7.6,14804,0.7,0.7,2,1450
1494,"YAMUNaN AT U/S OF LAKHWAR DAM, U.P",UTTARAKHAND,19.7,6.5,8.2,NaN,1.1,0,7900,35000
1490,"YAMUNaN AT U/S DAK PATTHAR, UTTAR PARDESH",UTTARAKHAND,18.7,7.7,8.2,NaN,1.3,0,1100,6509
1553,"YAMUNaN , U/S PAONTA SAHIB, H.P",HIMACHAL PRADESH,22.3,7.7,7.5,465,1.2,0.2,9,19
1554,"YAMUNaN , D/S PAONTA SAHIB, H.P",HIMACHAL PRADESH,23.7,7.5,7.8,331,1.5,0.2,11,21
1120,"YAMUNaN AT WAZIRABAD, DELHI, CPCB",DELHI,18,9.3,7.6,NaN,2.4,NaN,NaN,10003
1121,"YAMUNaN AT NIZAMUDDIN, DELHI",DELHI,18,1.2,7.5,NaN,17.2,9,NaN,12010833
1375,"YAMUNaN AT OKHLA BRIDGE (INLET OF AGRA CANaNL), DELHI",DELHI,18,1.4,7.6,NaN,17.3,9.2,NaN,23816667
2495,"YAMUNaN AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,25,4,7.7,196,8.3,0,43546,73727
2494,"YAMUNaN AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,25,3.7,7.5,273,9.2,0,53546,117273
2493,YAMUNaN AT SHAHPUR,UTTAR PRADESH,25.3,4.5,7.5,281,7,0,34818,65000
1069,"YAMUNaN AT ALLAHABAD D/S (BALUA GHAT), U.P",UTTAR PRADESH,24.8,8.1,8.2,522,2.4,1.8,2875,5975
1812,"YAMUNaN AT OKHLA AFTER MEETING OF SHAHDARA DRAIN, DELHI",DELHI,18,1.4,7.5,NaN,38.2,NaN,NaN,18580000
1893,YAGACHI RIVER NEAR PUMPING STATION. HASSAN CITY,KARNaNTAKA,27.4,5.4,7.7,394,1,0.1,913,3600
1199,HEMAVATI AT D/S OF HOLENaNRASIPURA TOWN AT RAMADEVALA WEIR,KARNaNTAKA,27.7,5.8,7.7,298,1,0.1,1073,3533
1200,"SHIMSHA AT D/S OF HIGHWAY BRIDGE, YEDIYAR, KARNaNTAKA",KARNaNTAKA,28.7,7.1,7.9,416,3,1.3,NaN,1600
1166,"SHIMSHA AT D/S OF BRIDGE, HALAGUR, KARNaNTAKA",KARNaNTAKA,26.7,6.3,8.2,573,2.9,0.6,716,2950
1165,"ARKAVATHI AT D/S OF KANaNKAPURA TOWN, KARNaNTAKA",KARNaNTAKA,27,6.9,7.3,1560,7.3,9.1,56,788
2778,"ARKAVATHI AT T.G. HALLI RESERVOIR, , KARNaNTAKA",KARNaNTAKA,29.4,6.6,7.7,1049,4.3,1.3,46,1012
1196,"LAKSHMANTIRTHA  AT D/S OF HUNSUR TOWN, KARNaNTAKA",KARNaNTAKA,26.1,4.4,7.8,467,3.8,0.5,1099,4550
2772,"LAKSHMANTIRTHA  AT D/S OF KATTEMALAVADI, KARNaNTAKA",KARNaNTAKA,26.2,5.7,7.9,370,2.2,0.4,430,1744
1207,"KABBANI AT MUTHANKARA, KERALA",KERALA,26.9,6.7,7.7,78,0.4,0.8,58,96
1197,"KABBANI AT SARAGUR VILLAGE D/S, KARNaNTAKA",KARNaNTAKA,25.3,7.2,7.5,219,1.1,0.3,353,1478
41,"KABBANI AT CAUSE WAY  SATTUR, KARNaNTAKA",KARNaNTAKA,25.8,7.2,7.9,299,1.4,0.3,310,1357
1445,"KABBANI AT WATER INTAKE OF KIADB AT NaNJANGUD,KARNaNTAKA",KARNaNTAKA,25.7,7.2,7.9,266,1.3,0.3,308,1345
2775,"KABINI AT BATHING GHAT, NaNJANaNGUD, KARNaNTAKA",KARNaNTAKA,25.7,5.5,7.7,282,2.3,0.3,647,2717
1208,"BHAVANI AT ELACHIVAZHY, KERALA",KERALA,24.7,7.4,7.7,138,0.7,0.2,197,408
1201,"BHAVANI AT PATHIRAKALIAMMAN KOIL, TAMILNaNDU",TAMILNaNDU,24.4,8.1,7.7,108,0.7,0.3,11667,37848
1204,"BHAVANI AT SIRUMUGAI,TAMILNaNDU",TAMILNaNDU,24.6,7.5,7.7,207,1.1,0.3,6613,20942
1321,"BHAVANI AT BHAVANI SAGAR, TAMILNaNDU",TAMILNaNDU,26.8,7.2,7.9,161,1.9,0.2,15109,32509
1205,"BHAVANI AT BHAVANI, TAMILNaNDU",TAMILNaNDU,27.3,6.3,8.1,555,1.5,0.4,15578,35738
3019,"BHAVANI AT D/S OF BHAVANISAGAR, SATHYAMANGALAM, ERODE, TAMILNaNDU",TAMILNaNDU,27.4,7.2,7.9,304,1.8,0.3,18158,42583
3020,"U/S OF KALINGARAYAN CANaNL (B5), ERODE, TAMILNaNDU",TAMILNaNDU,26.8,5.9,8.1,442,0.9,0.2,12432,24552
3021,"D/S OF KALINGARAYAN CANaNL (B10), ERODE, TAMILNaNDU",TAMILNaNDU,27.2,6.4,8.1,481,0.9,0.2,22473,44153
1510,"TONS RIVER, H.P",HIMACHAL PRADESH,13.2,8.9,7.1,133,0.3,0.3,5,9
2620,ASHWANI AT U/S YASHWANT NaNGAR,HIMACHAL PRADESH,17.2,7.9,7.5,295,0.6,1.5,6,22
2626,BATTA AT U/S PAONTA,HIMACHAL PRADESH,23.3,7.7,7.7,302,1.1,0.3,11,20
2627,BATTA BEFORE CONFLUENCE TO YAMUNaN,HIMACHAL PRADESH,23.9,7.5,7.7,348,1.4,0.3,9,20
2621,GIRI AT D/S YASHWANT NaNGAR,HIMACHAL PRADESH,17.4,7.9,7.3,242,0.7,1.5,5,17
2622,GIRI AT U/S CCI MINES,HIMACHAL PRADESH,21.9,8.1,7.6,508,1.1,0.4,8,17
2623,GIRI D/S SATAUN,HIMACHAL PRADESH,22.8,7.9,7.6,467,1.4,0.3,8,17
2617,PABBAR AT U/S DHAMBARI,HIMACHAL PRADESH,10.5,9.3,6.9,82,0.2,0.3,4,8
2618,PABBAR AT U/S ROHRU,HIMACHAL PRADESH,11.2,9.3,6.9,86,0.3,0.4,2,8
2619,PABBAR AT D/S SWARAKUDDU,HIMACHAL PRADESH,12.6,9,7,163,0.3,0.3,3,9
2496,"HINDON AT SARDHANaN BUDHANaN ROAD, VILLAGE BAPARSI, MEERUT",UTTAR PRADESH,23.6,NaN,7.5,706,49.1,6.8,81125,140500
1358,"HINDON AT GHAZIABAD D/S, U.P.",UTTAR PRADESH,24.3,1.1,7.4,1499,75.6,0.6,174167,250000
1357,"HINDON AT SAHARANPUR D/S, U.P.",UTTAR PRADESH,20.1,0.8,7.4,586,24,0,5692,8150
1143,"TONS AT CHAKGHAT, M.P.",MADHYA PRADESH,26.8,6.4,7.6,576,2.8,2,20,211
2107,"BETWA U/S, BEENaN",MADHYA PRADESH,25.9,7.5,7.8,361,0.6,0,NaN,2
2108,"BETWA D/S, BEENaN",MADHYA PRADESH,26.9,7.4,8.3,371,0.7,0,NaN,3
1735,"BETWA AT GOVIND SAGAR, U.P",UTTAR PRADESH,27.5,6.7,8.5,218,3,0,3150,13310
1356,"BETWA BEFORE CONF. YAMUNaN AT HAMIRPUR, U.P.",UTTAR PRADESH,24,7.1,8.1,386,3.2,0,3580,15300
1365,CHAMBAL AT NaNGDA U/S (WATER INTAKE POINT) M.P.,MADHYA PRADESH,26.2,7.3,7.9,515,NaN,1,NaN,262
1366,"CHAMBAL AT NaNGDA D/S, M.P.",MADHYA PRADESH,26.7,1.5,8.2,6485,NaN,5.4,NaN,1600
2955,"CHAMBAL ENTERING IN RAJASTHAN AT GANDHI SAGAR DAM, KOTA, RAJASTHAN",RAJASTHAN,26.2,5.6,7.8,317,0.8,0.6,4,5
1418,"CHAMBAL AT GANDHI SAGAR DAM, RAMPURA, MP",MADHYA PRADESH,27,7.2,7.9,338,1.9,1.2,NaN,236
1288,"CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE), RAJASTHAN",RAJASTHAN,27.8,6,7.9,301,0.8,0.4,4,5
1289,"CHAMBAL AT KOTA D/S (2 KM. FROM CITY),RAJASTHAN",RAJASTHAN,26.6,5.9,8.4,546,2,0.6,13,642
1413,"CHAMBAL AT RAMESHWARGHAT NR. SAWAIMADHOPUR, RAJASTHAN",RAJASTHAN,24.7,5.3,8.2,608,1.3,0.7,4,14
1609,"CHAMBAL AT DHOLPUR, M.P",MADHYA PRADESH,24.6,8.2,7.5,696,2,0.9,NaN,NaN
1432,"PARVATI NEAR VILLAGE BATAODAPAR, M.P.",MADHYA PRADESH,25.5,7.2,7.5,599,2.1,0,NaN,NaN
2126,"PARVATI A/C OF VINDHYACHAL NaNLLA, PILUKHEDI",MADHYA PRADESH,26.3,6.7,7.5,608,2.1,0,NaN,NaN
2954,"PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI, KOTA, RAJASTHAN",RAJASTHAN,25.8,5.2,8.2,556,1,0.6,4,10
1607,"GOHAD DAM, GOHAD, M.P",MADHYA PRADESH,25.4,7.2,7.7,1165,2.6,1.7,NaN,NaN
1367,KHAN AT KABIT KHEDI (NEAR INDORE) M.P.,MADHYA PRADESH,28,0,7.3,1507,40,45.5,41,1600
1369,"KSHIPRA AT RAMGHAT AT UJJAIN, M.P.",MADHYA PRADESH,27,6.9,8,974,NaN,1.6,NaN,1600
1370,"KSHIPRA AT TRIVENISANGAM (1 KM. D/S OF SANGAM), M.P.",MADHYA PRADESH,26.8,7,7.8,854,NaN,1.9,NaN,1600
